LOTE,DISPONIBILIDAD,Total Terreno,NORTE,SUR,ESTE,OESTE,Total Construccion,Lista 1,Lista 2,Lista 3,Lista 4,Lista 5 ,Lista 6,Lista 7 ,Lista 8 ,Lista 9,Lista 10 
21,Vendido,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m con Lote 22,21 m con Lote 20,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
22,Vendido,216.05,7 m con Calle Puerto Marquez,7 m con Pasillo,21 m calle Puerto Monaco,21 m con Lote 21,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
23,,236.63,23 m con Pasillo,23 m con Lote 24,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
24,,236.63,23 m con Lote 23,23 m con Lote 25,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
25,,236.63,23 m con Lote 24,23 m con Lote 26,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
26,,236.63,23 m con Lote 25,23 m con Lote 27,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
27,,236.63,23 m con Lote 26,23 m con Lote 28,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
28,,236.63,23 m con Lote 27,23 m con Lote 29,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
29,,236.63,23 m con Lote 28,21 m con Lote 30 y 2 m con Pasillo,7 m con calle Puerto Monaco,7 m con Área Común,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
30,,216.05,21 m con Lote 29 ,21 m con Lote 31,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
31,,216.05,21 m con Lote 30,21 m con Lote 32,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
32,,216.05,21 m con Lote 31,21 m con Lote 33,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
33,,216.05,21 m con Lote 32,21 m con Calle Puerto Las Hadas,7 m con calle Puerto Monaco,7 m con Pasillo,128.8," $ 3,359,776 "," $ 3,428,092 "," $ 3,497,773 "," $ 3,568,849 "," $ 3,641,346 "," $ 3,715,293 "," $ 3,790,719 "," $ 3,867,653 "," $ 3,946,126 "," $ 4,026,169 "
34,,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 35,19 m con Calle Puerto Kino,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 "
35,,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 36,19 m con Lote 34,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 "
36,,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 37,19 m con Lote 35,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 "
37,,195.47,7 m con Pasillo,7 m con Calle Puerto Las Hadas,19 m con Lote 38,19 m con Lote 36,120.8," $ 3,203,616 "," $ 3,267,688 "," $ 3,333,042 "," $ 3,399,703 "," $ 3,467,697 "," $ 3,537,051 "," $ 3,607,792 "," $ 3,679,948 "," $ 3,753,547 "," $ 3,828,618 "
38,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 39,19 m con Lote 37 y 4 m con Pasillo,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
39,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 40,23 m con Lote 38,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
40,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 41,23 m con Lote 39,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
41,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 42,23 m con Lote 40,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
42,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 43,23 m con Lote 41,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
43,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Lote 44,23 m con Lote 42,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
44,,236.63,7 m con Área Común,7 m con Calle Puerto Las Hadas,23 m con Pasillo,23 m con Lote 43,128.8," $ 3,415,776 "," $ 3,484,092 "," $ 3,553,773 "," $ 3,624,849 "," $ 3,697,346 "," $ 3,771,293 "," $ 3,846,719 "," $ 3,923,653 "," $ 4,002,126 "," $ 4,082,169 "
,,,,,,,Precio/m2," $ 26,520.00 "," $ 27,050.40 "," $ 27,591.41 "," $ 28,143.24 "," $ 28,706.10 "," $ 29,280.22 "," $ 29,865.83 "," $ 30,463.14 "," $ 31,072.41 "," $ 31,693.85 "
,,,,,,,,2.00%,,,,,,,,,
